site_id,postcode,state,timezone_id
515850145,2903,ACT,Australia/Sydney
739575630,2914,ACT,Australia/Sydney
2011366,2680,NSW,Australia/Sydney
2644595,2284,NSW,Australia/Sydney
11320202,2525,NSW,Australia/Sydney
13956999,2320,NSW,Australia/Sydney
33987251,2478,NSW,Australia/Sydney
48862537,2480,NSW,Australia/Sydney
49429263,2315,NSW,Australia/Sydney
49564658,2480,NSW,Australia/Sydney
53635958,2234,NSW,Australia/Sydney
62255594,2075,NSW,Australia/Sydney
68034589,2234,NSW,Australia/Sydney
79771551,2541,NSW,Australia/Sydney
89483095,2285,NSW,Australia/Sydney
92774670,2075,NSW,Australia/Sydney
116094789,2470,NSW,Australia/Sydney
120179012,2535,NSW,Australia/Sydney
127328059,2101,NSW,Australia/Sydney
128581770,2795,NSW,Australia/Sydney
150390376,2064,NSW,Australia/Sydney
154306047,2147,NSW,Australia/Sydney
154501124,2092,NSW,Australia/Sydney
171314097,2218,NSW,Australia/Sydney
174204286,2850,NSW,Australia/Sydney
202546857,2343,NSW,Australia/Sydney
207500400,2322,NSW,Australia/Sydney
213653893,2233,NSW,Australia/Sydney
227797693,2477,NSW,Australia/Sydney
234805062,2680,NSW,Australia/Sydney
241493330,2233,NSW,Australia/Sydney
247539791,2330,NSW,Australia/Sydney
261827202,2094,NSW,Australia/Sydney
266703833,2770,NSW,Australia/Sydney
272959016,2119,NSW,Australia/Sydney
273630726,2445,NSW,Australia/Sydney
285152629,2031,NSW,Australia/Sydney
289095738,2820,NSW,Australia/Sydney
300390349,2675,NSW,Australia/Sydney
304333426,2287,NSW,Australia/Sydney
306450364,2226,NSW,Australia/Sydney
314205404,2878,NSW,Australia/Sydney
314553875,2287,NSW,Australia/Sydney
328266815,2463,NSW,Australia/Sydney
331310377,2448,NSW,Australia/Sydney
335623122,2428,NSW,Australia/Sydney
340069308,2484,NSW,Australia/Sydney
358142750,2474,NSW,Australia/Sydney
363310794,2535,NSW,Australia/Sydney
383347768,2265,NSW,Australia/Sydney
384745230,2099,NSW,Australia/Sydney
395223401,2066,NSW,Australia/Sydney
409649773,2573,NSW,Australia/Sydney
417635758,2830,NSW,Australia/Sydney
426857276,2456,NSW,Australia/Sydney
428690284,2038,NSW,Australia/Sydney
435076452,2070,NSW,Australia/Sydney
454106336,2830,NSW,Australia/Sydney
459064828,2040,NSW,Australia/Sydney
460635754,2147,NSW,Australia/Sydney
463598659,2206,NSW,Australia/Sydney
468977790,2444,NSW,Australia/Sydney
478129502,2560,NSW,Australia/Sydney
494467697,2850,NSW,Australia/Sydney
499003535,2430,NSW,Australia/Sydney
508131094,2259,NSW,Australia/Sydney
517322286,2440,NSW,Australia/Sydney
526308181,2541,NSW,Australia/Sydney
551352344,2340,NSW,Australia/Sydney
585421420,2096,NSW,Australia/Sydney
604752008,2039,NSW,Australia/Sydney
611813832,2089,NSW,Australia/Sydney
613403579,2285,NSW,Australia/Sydney
625281624,2259,NSW,Australia/Sydney
626932879,2630,NSW,Australia/Sydney
634071279,2203,NSW,Australia/Sydney
635207596,2486,NSW,Australia/Sydney
640687299,2167,NSW,Australia/Sydney
650853837,2259,NSW,Australia/Sydney
652545187,2753,NSW,Australia/Sydney
671854262,2126,NSW,Australia/Sydney
680953421,2206,NSW,Australia/Sydney
698850391,2097,NSW,Australia/Sydney
713833662,2761,NSW,Australia/Sydney
719435817,2284,NSW,Australia/Sydney
724961940,2026,NSW,Australia/Sydney
725126763,2324,NSW,Australia/Sydney
726765075,2093,NSW,Australia/Sydney
728031397,2570,NSW,Australia/Sydney
734601754,2323,NSW,Australia/Sydney
748081490,2316,NSW,Australia/Sydney
759310369,2481,NSW,Australia/Sydney
760202887,2086,NSW,Australia/Sydney
767698846,2122,NSW,Australia/Sydney
801451236,2759,NSW,Australia/Sydney
815002519,2220,NSW,Australia/Sydney
834792356,2316,NSW,Australia/Sydney
835169206,2750,NSW,Australia/Sydney
846543212,2758,NSW,Australia/Sydney
849976050,2446,NSW,Australia/Sydney
858565768,2234,NSW,Australia/Sydney
864578115,2141,NSW,Australia/Sydney
872900895,2100,NSW,Australia/Sydney
875549301,2479,NSW,Australia/Sydney
880368884,2587,NSW,Australia/Sydney
881791351,2324,NSW,Australia/Sydney
885246896,2261,NSW,Australia/Sydney
900853689,2337,NSW,Australia/Sydney
901601049,2096,NSW,Australia/Sydney
912014664,2233,NSW,Australia/Sydney
918070741,2326,NSW,Australia/Sydney
929568120,2758,NSW,Australia/Sydney
930502952,2085,NSW,Australia/Sydney
931486918,2333,NSW,Australia/Sydney
932399613,2318,NSW,Australia/Sydney
944624255,2225,NSW,Australia/Sydney
951620973,2534,NSW,Australia/Sydney
974813232,2320,NSW,Australia/Sydney
983601573,2321,NSW,Australia/Sydney
986946254,2777,NSW,Australia/Sydney
1000459741,2082,NSW,Australia/Sydney
1004400538,2285,NSW,Australia/Sydney
1017288030,2320,NSW,Australia/Sydney
1073563061,2777,NSW,Australia/Sydney
1115633154,2220,NSW,Australia/Sydney
1122158601,2850,NSW,Australia/Sydney
1122467950,2289,NSW,Australia/Sydney
1129843882,2487,NSW,Australia/Sydney
1135593154,2082,NSW,Australia/Sydney
1141835204,2770,NSW,Australia/Sydney
1166890435,2574,NSW,Australia/Sydney
1173642922,2541,NSW,Australia/Sydney
1177135954,2650,NSW,Australia/Sydney
1191260378,2144,NSW,Australia/Sydney
1191327863,2324,NSW,Australia/Sydney
1194618621,2759,NSW,Australia/Sydney
1247755859,2794,NSW,Australia/Sydney
1252801870,2650,NSW,Australia/Sydney
1252968211,2790,NSW,Australia/Sydney
1254638750,2322,NSW,Australia/Sydney
1259699321,2800,NSW,Australia/Sydney
1292008212,2337,NSW,Australia/Sydney
1300062528,2594,NSW,Australia/Sydney
1302289792,2830,NSW,Australia/Sydney
1302684838,2110,NSW,Australia/Sydney
1324933763,2049,NSW,Australia/Sydney
1325340512,2076,NSW,Australia/Sydney
1332539082,2126,NSW,Australia/Sydney
1335152672,2250,NSW,Australia/Sydney
1352535240,2830,NSW,Australia/Sydney
1364526604,2065,NSW,Australia/Sydney
1368020065,2296,NSW,Australia/Sydney
1371410465,2372,NSW,Australia/Sydney
1374067079,2479,NSW,Australia/Sydney
1376173820,2650,NSW,Australia/Sydney
1381630440,2148,NSW,Australia/Sydney
1386801875,2350,NSW,Australia/Sydney
1389922386,2650,NSW,Australia/Sydney
1416134220,2830,NSW,Australia/Sydney
1419821972,2049,NSW,Australia/Sydney
1425100286,2321,NSW,Australia/Sydney
1426213400,2137,NSW,Australia/Sydney
1428105701,2541,NSW,Australia/Sydney
1432278707,2330,NSW,Australia/Sydney
1444664204,2489,NSW,Australia/Sydney
1446135290,2340,NSW,Australia/Sydney
1450046188,2323,NSW,Australia/Sydney
1452825590,2038,NSW,Australia/Sydney
1462467700,2096,NSW,Australia/Sydney
1474499040,2038,NSW,Australia/Sydney
1490255250,2320,NSW,Australia/Sydney
1493229780,2321,NSW,Australia/Sydney
1498756947,2283,NSW,Australia/Sydney
1498838824,2195,NSW,Australia/Sydney
1521856668,2065,NSW,Australia/Sydney
1522544332,2340,NSW,Australia/Sydney
1532046713,2320,NSW,Australia/Sydney
1542852177,2590,NSW,Australia/Sydney
1544800300,2323,NSW,Australia/Sydney
1552378221,2259,NSW,Australia/Sydney
1565603621,2818,NSW,Australia/Sydney
1567449096,2259,NSW,Australia/Sydney
1580376746,2460,NSW,Australia/Sydney
1596980359,2340,NSW,Australia/Sydney
1597060337,2850,NSW,Australia/Sydney
1599425477,2756,NSW,Australia/Sydney
1603686115,2444,NSW,Australia/Sydney
1622332194,2287,NSW,Australia/Sydney
1625502330,2233,NSW,Australia/Sydney
1636043763,2536,NSW,Australia/Sydney
1643613313,2350,NSW,Australia/Sydney
1654709269,2830,NSW,Australia/Sydney
1659361784,2290,NSW,Australia/Sydney
1662567174,2077,NSW,Australia/Sydney
1667277448,2282,NSW,Australia/Sydney
1668300434,2576,NSW,Australia/Sydney
1692172702,2250,NSW,Australia/Sydney
1709278074,2286,NSW,Australia/Sydney
1711480155,2650,NSW,Australia/Sydney
1715083566,2065,NSW,Australia/Sydney
1717678934,2487,NSW,Australia/Sydney
1719546731,2233,NSW,Australia/Sydney
1735126951,2117,NSW,Australia/Sydney
1740635602,2705,NSW,Australia/Sydney
1749057361,2155,NSW,Australia/Sydney
1751949044,2259,NSW,Australia/Sydney
1769624492,2207,NSW,Australia/Sydney
1770179568,2575,NSW,Australia/Sydney
1774919217,2323,NSW,Australia/Sydney
1784943958,2150,NSW,Australia/Sydney
1798951442,2092,NSW,Australia/Sydney
1799095089,2800,NSW,Australia/Sydney
1816542455,2878,NSW,Australia/Sydney
1834980348,2022,NSW,Australia/Sydney
1835254855,2850,NSW,Australia/Sydney
1851828230,2756,NSW,Australia/Sydney
1852193999,2287,NSW,Australia/Sydney
1858195637,2323,NSW,Australia/Sydney
1860747251,2204,NSW,Australia/Sydney
1865773554,2460,NSW,Australia/Sydney
1866115677,2284,NSW,Australia/Sydney
1912777523,2640,NSW,Australia/Sydney
1923830664,2262,NSW,Australia/Sydney
1930104045,2119,NSW,Australia/Sydney
1942498631,2285,NSW,Australia/Sydney
1945008251,2680,NSW,Australia/Sydney
1971767854,2484,NSW,Australia/Sydney
1983364021,2064,NSW,Australia/Sydney
1989637454,2038,NSW,Australia/Sydney
2016102695,2257,NSW,Australia/Sydney
2016390337,2650,NSW,Australia/Sydney
2016678982,2050,NSW,Australia/Sydney
2018954914,2390,NSW,Australia/Sydney
2022793011,2333,NSW,Australia/Sydney
2022865259,2680,NSW,Australia/Sydney
2026732272,2450,NSW,Australia/Sydney
2048157591,2680,NSW,Australia/Sydney
2049410434,2535,NSW,Australia/Sydney
2053825723,2099,NSW,Australia/Sydney
2067064175,2283,NSW,Australia/Sydney
2075654373,2655,NSW,Australia/Sydney
2088492324,2041,NSW,Australia/Sydney
2089558723,2460,NSW,Australia/Sydney
2089626236,2103,NSW,Australia/Sydney
2092462470,2232,NSW,Australia/Sydney
2096962567,2786,NSW,Australia/Sydney
2102516665,2233,NSW,Australia/Sydney
2102893515,2034,NSW,Australia/Sydney
2103066864,2800,NSW,Australia/Sydney
2104145344,2482,NSW,Australia/Sydney
2109433870,2250,NSW,Australia/Sydney
2125134121,2070,NSW,Australia/Sydney
2144302879,2334,NSW,Australia/Sydney
6103020,4702,QLD,Australia/Brisbane
17741532,4564,QLD,Australia/Brisbane
23802476,4017,QLD,Australia/Brisbane
40281398,4170,QLD,Australia/Brisbane
40919374,4209,QLD,Australia/Brisbane
43455975,4220,QLD,Australia/Brisbane
45034994,4304,QLD,Australia/Brisbane
46273932,4741,QLD,Australia/Brisbane
51254079,4717,QLD,Australia/Brisbane
60993991,4305,QLD,Australia/Brisbane
77491219,4018,QLD,Australia/Brisbane
92071696,4575,QLD,Australia/Brisbane
104989603,4650,QLD,Australia/Brisbane
126283799,4165,QLD,Australia/Brisbane
129936914,4350,QLD,Australia/Brisbane
131097238,4500,QLD,Australia/Brisbane
133852058,4163,QLD,Australia/Brisbane
173994775,4012,QLD,Australia/Brisbane
186331009,4560,QLD,Australia/Brisbane
228489689,4552,QLD,Australia/Brisbane
230589246,4800,QLD,Australia/Brisbane
230966412,4053,QLD,Australia/Brisbane
241271752,4017,QLD,Australia/Brisbane
243548097,4214,QLD,Australia/Brisbane
264445722,4559,QLD,Australia/Brisbane
315622138,4205,QLD,Australia/Brisbane
327993590,4034,QLD,Australia/Brisbane
333578417,4172,QLD,Australia/Brisbane
355817239,4133,QLD,Australia/Brisbane
366732948,4207,QLD,Australia/Brisbane
372817007,4211,QLD,Australia/Brisbane
373739408,4216,QLD,Australia/Brisbane
396552888,4121,QLD,Australia/Brisbane
402468830,4132,QLD,Australia/Brisbane
408450837,4207,QLD,Australia/Brisbane
411999235,4551,QLD,Australia/Brisbane
419674474,4715,QLD,Australia/Brisbane
429924320,4280,QLD,Australia/Brisbane
430976744,4020,QLD,Australia/Brisbane
437606745,4210,QLD,Australia/Brisbane
454333399,4655,QLD,Australia/Brisbane
456964842,4227,QLD,Australia/Brisbane
459991966,4213,QLD,Australia/Brisbane
460805291,4280,QLD,Australia/Brisbane
468485328,4210,QLD,Australia/Brisbane
485993539,4510,QLD,Australia/Brisbane
487359656,4132,QLD,Australia/Brisbane
493288080,4157,QLD,Australia/Brisbane
502373274,4870,QLD,Australia/Brisbane
505713029,4053,QLD,Australia/Brisbane
513054730,4570,QLD,Australia/Brisbane
514248804,4211,QLD,Australia/Brisbane
523047866,4184,QLD,Australia/Brisbane
543147061,4670,QLD,Australia/Brisbane
558829996,4563,QLD,Australia/Brisbane
569311199,4280,QLD,Australia/Brisbane
577341905,4165,QLD,Australia/Brisbane
586503715,4124,QLD,Australia/Brisbane
586527755,4113,QLD,Australia/Brisbane
593507228,4154,QLD,Australia/Brisbane
602393300,4074,QLD,Australia/Brisbane
603340708,4702,QLD,Australia/Brisbane
603579184,4069,QLD,Australia/Brisbane
609185751,4567,QLD,Australia/Brisbane
617523956,4173,QLD,Australia/Brisbane
646880841,4701,QLD,Australia/Brisbane
651423412,4036,QLD,Australia/Brisbane
657276703,4720,QLD,Australia/Brisbane
671090503,4520,QLD,Australia/Brisbane
671282194,4510,QLD,Australia/Brisbane
671621059,4717,QLD,Australia/Brisbane
677333055,4116,QLD,Australia/Brisbane
689045440,4055,QLD,Australia/Brisbane
717470730,4064,QLD,Australia/Brisbane
731073921,4034,QLD,Australia/Brisbane
731480064,4053,QLD,Australia/Brisbane
