PeriodEnd,PeriodStart,Period,AirTemp,Dhi,Dni,Ghi,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m
2019-01-01T00:00:00Z,2018-12-31T23:00:00Z,PT60M,26.6,166,838,874,58.4,996.8,56,2.2
2019-01-01T01:00:00Z,2019-01-01T00:00:00Z,PT60M,27.8,117,960,1024,52.8,996.3,60,2.5
2019-01-01T02:00:00Z,2019-01-01T01:00:00Z,PT60M,28.3,119,972,1083,48.5,995.4,63,2.5
2019-01-01T03:00:00Z,2019-01-01T02:00:00Z,PT60M,28.8,118,971,1072,44.6,994.6,65,2.5
2019-01-01T04:00:00Z,2019-01-01T03:00:00Z,PT60M,28.9,121,947,992,43.2,994,67,2.7
2019-01-01T05:00:00Z,2019-01-01T04:00:00Z,PT60M,28.6,117,911,852,43.9,993.6,67,3
2019-01-01T06:00:00Z,2019-01-01T05:00:00Z,PT60M,28.3,111,842,659,44.7,993.2,68,3.3
2019-01-01T07:00:00Z,2019-01-01T06:00:00Z,PT60M,27.4,174,414,357,48,993.4,67,3.4
2019-01-01T08:00:00Z,2019-01-01T07:00:00Z,PT60M,25.9,73,491,202,54.2,994.1,65,3.3
2019-01-01T09:00:00Z,2019-01-01T08:00:00Z,PT60M,24.4,22,33,26,61.4,994.7,63,3.2
2019-01-01T10:00:00Z,2019-01-01T09:00:00Z,PT60M,23.5,0,0,0,66.5,995.2,62,2.9
2019-01-01T11:00:00Z,2019-01-01T10:00:00Z,PT60M,23.1,0,0,0,69,995.6,62,2.4
2019-01-01T12:00:00Z,2019-01-01T11:00:00Z,PT60M,22.7,0,0,0,71.6,996,62,1.9
2019-01-01T13:00:00Z,2019-01-01T12:00:00Z,PT60M,22,0,0,0,76.1,995.9,61,1.7
2019-01-01T14:00:00Z,2019-01-01T13:00:00Z,PT60M,21,0,0,0,82.6,995.5,58,1.8
2019-01-01T15:00:00Z,2019-01-01T14:00:00Z,PT60M,20,0,0,0,89.7,995,56,1.9
2019-01-01T16:00:00Z,2019-01-01T15:00:00Z,PT60M,19.3,0,0,0,93.3,994.7,58,2
2019-01-01T17:00:00Z,2019-01-01T16:00:00Z,PT60M,19,0,0,0,93.1,994.7,63,2
2019-01-01T18:00:00Z,2019-01-01T17:00:00Z,PT60M,18.7,0,0,0,92.9,994.7,68,2.1
2019-01-01T19:00:00Z,2019-01-01T18:00:00Z,PT60M,19.1,0,0,0,90.8,994.9,69,2
2019-01-01T20:00:00Z,2019-01-01T19:00:00Z,PT60M,20.2,38,182,67,86.9,995.4,69,1.9
2019-01-01T21:00:00Z,2019-01-01T20:00:00Z,PT60M,21.3,83,577,273,83.3,995.9,68,1.7
2019-01-01T22:00:00Z,2019-01-01T21:00:00Z,PT60M,22.6,199,497,447,76.7,996,65,1.7
2019-01-01T23:00:00Z,2019-01-01T22:00:00Z,PT60M,24.3,185,694,683,68.1,995.8,60,1.8
2019-01-02T00:00:00Z,2019-01-01T23:00:00Z,PT60M,26,478,220,664,60.5,995.6,55,1.9
2019-01-02T01:00:00Z,2019-01-02T00:00:00Z,PT60M,27.2,487,327,796,54,995.1,57,2.1
2019-01-02T02:00:00Z,2019-01-02T01:00:00Z,PT60M,28.1,217,813,1022,48.3,994.4,65,2.2
