date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,20,25,25,23,20,70,81,0.1,1015,23,10,49,14,brisbane
2019-01-01 01:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,19,25,25,23,19,66,81,0.0,1015,23,10,46,13,brisbane
2019-01-01 02:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,19,25,25,23,18,63,81,0.0,1015,23,10,44,12,brisbane
2019-01-01 03:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,19,25,25,23,17,59,81,0.0,1014,23,10,41,11,brisbane
2019-01-01 04:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,19,25,25,23,16,64,78,0.0,1015,23,10,41,11,brisbane
2019-01-01 05:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,19,25,25,23,15,69,75,0.0,1015,23,10,41,10,brisbane
2019-01-01 06:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,18,26,26,24,13,74,72,0.0,1015,24,10,40,10,brisbane
2019-01-01 07:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,18,26,26,25,13,60,67,0.0,1015,25,10,44,11,brisbane
2019-01-01 08:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,18,27,27,26,13,46,62,0.0,1015,26,10,47,11,brisbane
2019-01-01 09:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,17,28,28,26,13,32,58,0.0,1014,26,10,51,12,brisbane
2019-01-01 10:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,17,28,28,27,15,29,55,0.0,1014,27,10,53,13,brisbane
2019-01-01 11:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,17,29,29,28,17,26,53,0.0,1013,28,10,56,15,brisbane
2019-01-01 12:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,17,29,29,28,19,23,50,0.0,1013,28,10,59,16,brisbane
2019-01-01 13:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,17,29,29,28,19,25,50,0.0,1012,28,10,58,17,brisbane
2019-01-01 14:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,17,29,29,28,20,27,51,0.0,1012,28,10,57,17,brisbane
2019-01-01 15:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,17,29,29,28,21,29,51,0.0,1012,28,10,56,18,brisbane
2019-01-01 16:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,17,28,28,27,21,22,55,0.0,1012,27,10,53,18,brisbane
2019-01-01 17:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,17,27,27,26,22,16,59,0.0,1012,26,10,50,17,brisbane
2019-01-01 18:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,18,27,27,25,22,10,62,0.0,1012,25,10,47,17,brisbane
2019-01-01 19:00:00,29,25,0.0,13.3,7,26,01:17 AM,02:24 PM,04:56 AM,06:46 PM,18,26,26,25,21,10,66,0.0,1013,25,10,46,16,brisbane
